hotel,is_canceled,lead_time,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,name,email,phone-number
City Hotel,1,157,May,1,3,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,130.0,0,0,Taylor Juarez,Juarez.Taylor44@zoho.com,634-458-8010
Resort Hotel,0,167,September,2,8,2,0.0,0,BB,GBR,0,0,D,0,No Deposit,0,Contract,62.48,0,2,Yolanda Taylor,Taylor.Yolanda35@xfinity.com,571-733-2380
City Hotel,0,124,April,1,1,2,0.0,0,SC,GBR,0,0,A,0,No Deposit,0,Transient,99.0,0,1,Angie Dixon,Angie_Dixon@hotmail.com,818-661-8987
Resort Hotel,0,8,July,2,4,2,1.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,169.0,1,2,Jennifer Higgins,Higgins.Jennifer@yandex.com,669-803-3888
City Hotel,0,43,July,0,2,2,0.0,0,HB,PRT,0,0,A,1,No Deposit,0,Transient-Party,43.0,0,0,Jeremy Wilcox,Jeremy_Wilcox@hotmail.com,100-100-0744
Resort Hotel,0,106,August,2,5,3,0.0,0,HB,GBR,0,0,D,0,No Deposit,0,Contract,224.25,0,0,Johnathan Edwards,Johnathan.E59@mail.com,986-058-5171
City Hotel,0,164,October,0,2,1,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,100.0,0,0,Brian Robles,Brian.R51@hotmail.com,149-629-8477
City Hotel,0,4,August,0,5,2,0.0,0,BB,FRA,0,0,A,0,No Deposit,0,Contract,90.0,0,2,James Evans,JamesEvans17@gmail.com,549-107-3052
City Hotel,0,157,July,0,4,2,0.0,0,SC,GBR,0,0,A,0,No Deposit,0,Transient,97.75,0,1,Rita Romero,Romero_Rita@gmail.com,289-290-6012
Resort Hotel,1,256,July,2,0,3,0.0,0,BB,PRT,0,0,D,0,No Deposit,0,Transient,172.8,0,1,Daniel Orozco,Orozco_Daniel87@yahoo.com,595-334-9305
City Hotel,1,93,October,2,1,1,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,115.0,0,0,Brian Henry,Henry_Brian55@verizon.com,226-126-9998
City Hotel,1,186,April,1,2,2,0.0,1,BB,FRA,0,0,D,1,No Deposit,0,Transient,130.5,0,2,Daniel Campbell,Daniel_Campbell@zoho.com,356-285-5897
City Hotel,0,87,May,2,2,0,2.0,0,BB,PRT,0,0,B,0,No Deposit,0,Transient-Party,112.01,0,1,Scott Martin,Scott.M@zoho.com,574-124-1268
City Hotel,0,121,April,1,2,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,71.0,0,0,Keith Johnson,Keith_Johnson@att.com,739-214-9945
Resort Hotel,0,5,October,0,2,1,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,51.0,0,0,Daniel Cunningham,Daniel.Cunningham@gmail.com,905-430-9887
City Hotel,0,3,February,0,1,3,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,114.4,0,0,Michele Robertson,Michele_Robertson@zoho.com,463-237-1496
Resort Hotel,0,177,August,2,4,2,0.0,0,BB,PRT,0,0,F,0,No Deposit,0,Transient,239.0,0,1,Jose Torres,Jose_Torres38@att.com,832-379-7415
City Hotel,1,60,March,2,2,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,75.0,0,0,Richard Thomas,Richard_Thomas@mail.com,445-517-2537
City Hotel,0,244,September,0,1,2,0.0,0,SC,PRT,0,0,A,0,No Deposit,0,Transient,98.4,0,2,Jeffrey Lopez,Lopez.Jeffrey@protonmail.com,549-406-7995
Resort Hotel,1,243,September,0,2,2,0.0,0,BB,PRT,1,0,D,0,No Deposit,0,Transient-Party,99.0,0,1,Elizabeth Jackson,ElizabethJackson89@yahoo.com,557-330-9984
Resort Hotel,1,20,August,2,5,2,0.0,0,HB,PRT,0,0,E,0,No Deposit,0,Transient,182.0,0,1,Joshua Lyons,Joshua.Lyons@yandex.com,798-747-9385
Resort Hotel,0,165,May,3,7,2,0.0,0,HB,GBR,0,0,A,0,No Deposit,0,Contract,86.7,0,1,Alicia Vargas,Alicia_Vargas@protonmail.com,763-076-4863
Resort Hotel,1,208,April,2,5,2,0.0,0,HB,PRT,0,0,E,1,Non Refund,0,Transient-Party,60.3,0,0,Kimberly Moore,Moore.Kimberly@aol.com,438-742-9799
Resort Hotel,0,1,October,0,1,2,1.0,0,BB,ESP,0,0,E,0,No Deposit,0,Transient,58.0,0,1,Brittany Sanchez,Brittany.S@aol.com,233-520-1017
City Hotel,0,159,March,0,3,2,0.0,0,BB,DEU,0,0,A,0,No Deposit,0,Transient,72.0,0,0,Anthony Cooke,ACooke@verizon.com,249-997-4562
City Hotel,0,1,June,0,1,1,0.0,0,BB,PRT,0,0,B,1,No Deposit,0,Transient,168.5,0,0,Nicole Gibbs,Nicole.Gibbs@mail.com,974-205-5326
Resort Hotel,0,22,April,1,1,2,0.0,0,BB,ESP,0,0,E,0,No Deposit,0,Transient,95.0,0,1,Bruce Miller,BruceMiller16@comcast.net,259-584-6437
City Hotel,1,99,May,1,2,3,0.0,0,BB,DEU,0,0,D,0,No Deposit,0,Transient,159.3,0,0,Linda Martinez,LindaMartinez@att.com,674-656-1962
City Hotel,0,42,March,2,2,2,0.0,0,BB,ESP,0,0,D,0,No Deposit,0,Transient,100.3,0,1,James Lawrence,James.Lawrence@gmail.com,641-948-7875
City Hotel,0,183,September,0,3,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,110.0,0,1,Joseph Crawford,Crawford.Joseph@verizon.com,710-370-9657
